"카메라 번호","주소","상세 설명","측정 시작 시간","측정 종료 시간","카메라 통과 인원 (IN)","카메라 통과 인원 (OUT)","데이터입력시간"
"2","계동길 69","계동교회 앞","2022-06-01 00:00:38","2022-06-01 00:10:38","17","43","2022-06-01 00:10:38"
"2","계동길 69","계동교회 앞","2022-06-01 00:10:38","2022-06-01 00:20:38","27","83","2022-06-01 00:20:38"
"2","계동길 69","계동교회 앞","2022-06-01 00:20:38","2022-06-01 00:30:38","47","107","2022-06-01 00:30:38"
"2","계동길 69","계동교회 앞","2022-06-01 00:30:38","2022-06-01 00:40:38","59","149","2022-06-01 00:40:38"
"2","계동길 69","계동교회 앞","2022-06-01 00:40:38","2022-06-01 00:50:38","65","163","2022-06-01 00:50:38"
"2","계동길 69","계동교회 앞","2022-06-01 00:50:38","2022-06-01 01:00:38","83","179","2022-06-01 01:00:38"
"2","계동길 69","계동교회 앞","2022-06-01 01:00:38","2022-06-01 01:10:38","95","192","2022-06-01 01:10:38"
"2","계동길 69","계동교회 앞","2022-06-01 01:10:38","2022-06-01 01:20:38","99","212","2022-06-01 01:20:38"
"2","계동길 69","계동교회 앞","2022-06-01 01:20:38","2022-06-01 01:30:38","103","222","2022-06-01 01:30:38"
"2","계동길 69","계동교회 앞","2022-06-01 01:30:38","2022-06-01 01:40:38","111","224","2022-06-01 01:40:38"
"2","계동길 69","계동교회 앞","2022-06-01 01:40:38","2022-06-01 01:50:38","116","237","2022-06-01 01:50:38"
"2","계동길 69","계동교회 앞","2022-06-01 01:50:38","2022-06-01 02:00:38","128","270","2022-06-01 02:00:38"
"2","계동길 69","계동교회 앞","2022-06-01 02:00:38","2022-06-01 02:10:38","137","294","2022-06-01 02:10:38"
"2","계동길 69","계동교회 앞","2022-06-01 02:10:38","2022-06-01 02:20:38","142","302","2022-06-01 02:20:38"
"2","계동길 69","계동교회 앞","2022-06-01 02:20:38","2022-06-01 02:30:38","143","306","2022-06-01 02:30:38"
"2","계동길 69","계동교회 앞","2022-06-01 02:30:38","2022-06-01 02:40:38","149","330","2022-06-01 02:40:38"
"2","계동길 69","계동교회 앞","2022-06-01 02:40:38","2022-06-01 02:50:38","152","352","2022-06-01 02:50:38"
"2","계동길 69","계동교회 앞","2022-06-01 02:50:38","2022-06-01 03:00:38","159","375","2022-06-01 03:00:38"
"2","계동길 69","계동교회 앞","2022-06-01 03:00:38","2022-06-01 03:10:38","173","404","2022-06-01 03:10:38"
"2","계동길 69","계동교회 앞","2022-06-01 03:10:38","2022-06-01 03:20:38","186","429","2022-06-01 03:20:38"
"2","계동길 69","계동교회 앞","2022-06-01 03:20:38","2022-06-01 03:30:38","190","436","2022-06-01 03:30:38"
